uid;civilite;nom;prenom;fonction;telephone;mail;etage;uoAffectation;codeImmeubleEmplacementCollaborateur;region;codeRegion;niveauTerritoire;codeTerritoire;niveauEntite;codeEntite;niveauAgence;codeAgence;localisationCollaborateur;pj;aMigrer
b47791;Mme;nom_021;Prenom_021;CONSEIL EN BANQUE PRIVEE PARTICULIER;04 99 52 42 91;nom_021.Prenom_021@bnpparibas.com;6;13240986;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674T20;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674Z29;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
132544;Mme;nom_022;Prenom_022;CONSEIL EN BANQUE PRIVEE PARTICULIER;04 68 47 73 06;nom_022.Prenom_022@bnpparibas.com;0;13240989;118150;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674T30;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674Z39;Zone comm. Planete Nord FERRAUDIERE 11000 CARCASSONNE;cs;OUI
225451;Mme;nom_023;Prenom_023;CONSEIL EN BANQUE PRIVEE PARTICULIER;04 68 35 78 11;nom_023.Prenom_023@bnpparibas.com;1;13272607;100177;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674T40;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674Z99;29 RUE VAUBAN 66000 PERPIGNAN;cs;OUI
221891;Mme;nom_024;Prenom_024;CONSEIL EN BANQUE PRIVEE PARTICULIER;04 68 35 78 14;nom_024.Prenom_024@bnpparibas.com;1;13272607;100177;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674T40;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674Z99;29 RUE VAUBAN 66000 PERPIGNAN;cs;OUI
b04655;M.;nom_025;Prenom_025;CONSEIL EN BANQUE PRIVEE PARTICULIER;04 67 49 53 04;nom_025.Prenom_025@bnpparibas.com;0;13240989;100798;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674T30;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674Z39;34 ALLEE PAUL RIQUET 34501 BEZIERS CEDEX;cs;OUI
308038;M.;nom_026;Prenom_026;RESPONSABLE CENTRE BANQUE PRIVEE;04 99 52 42 81;nom_026.Prenom_026@bnpparibas.com;6;13240981;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;PILOTAGE CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;08674Z96;PILOTAGE CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;08674Z96;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
344168;M.;nom_027;Prenom_027;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;04 67 49 53 15;nom_027.Prenom_027@bnpparibas.com;0;13240989;100798;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674T30;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 3;08674Z39;34 ALLEE PAUL RIQUET 34501 BEZIERS CEDEX;cs;OUI
225478;M.;nom_028;Prenom_028;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;04 99 52 42 87;nom_028.Prenom_028@bnpparibas.com;6;13240983;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674T10;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 1;08674Z19;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
296218;Mme;nom_029;Prenom_029;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;04 99 52 42 96;nom_029.Prenom_029@bnpparibas.com;6;13240986;106016;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674T20;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 2;08674Z29;LA COUPOLE 329 RUE LEON BLUM 34000 MONTPELLIER;cs;OUI
106859;Mme;nom_030;Prenom_030;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;04 68 35 78 10;nom_030.Prenom_030@bnpparibas.com;1;13272607;100177;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE MONTPELLIER ROUSSILLON;8674000;CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674T40;ACTION COMMERCIALE CBP EQUIPE MONTPELLIER ROUSSILLON 4;08674Z99;29 RUE VAUBAN 66000 PERPIGNAN;cs;OUI
281019;M.;nom_031;Prenom_031;ASSISTANT CLIENT BANQUE PRIVEE;0 1 53 00 60 51;nom_031.Prenom_031@bnpparibas.com;4;13236335;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;APPUI COMMERCIAL CBP EQUIPE PARIS EXCLUSIVE 2;02714Z94;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
137398;Mme;nom_032;Prenom_032;ASSISTANT CLIENT BANQUE PRIVEE;01 53 00 60 09;nom_032.Prenom_032@bnpparibas.com;5;13236335;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;APPUI COMMERCIAL CBP EQUIPE PARIS EXCLUSIVE 2;02714Z94;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
132728;Mme;nom_033;Prenom_033;ASSISTANT CLIENT BANQUE PRIVEE;01 55 35 93 68;nom_033.Prenom_033@bnpparibas.com;5;13236335;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;APPUI COMMERCIAL CBP EQUIPE PARIS EXCLUSIVE 2;02714Z94;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
136714;M.;nom_034;Prenom_034;ASSISTANT CLIENT BANQUE PRIVEE;01 53 00 60 10;nom_034.Prenom_034@bnpparibas.com;4;13236318;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 1;02714T10;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 1;02714Z19;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
b82455;M.;nom_035;Prenom_035;ASSISTANT CLIENT BANQUE PRIVEE;01 53 00 60 20;nom_035.Prenom_035@bnpparibas.com;5;13236335;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;APPUI COMMERCIAL CBP EQUIPE PARIS EXCLUSIVE 2;02714Z94;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
b81867;M.;nom_036;Prenom_036;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 53 00 60 62;nom_036.Prenom_036@bnpparibas.com;0;13270445;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 3;02714T30;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 3;02714Z99;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
511576;Mme;nom_037;Prenom_037;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 55 35 04 62;nom_037.Prenom_037@bnpparibas.com;4;13236318;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 1;02714T10;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 1;02714Z19;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
535495;M.;nom_038;Prenom_038;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 55 35 04 61;nom_038.Prenom_038@bnpparibas.com;4;13236318;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 1;02714T10;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 1;02714Z19;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
197333;Mme;nom_039;Prenom_039;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 55 35 04 63;nom_039.Prenom_039@bnpparibas.com;5;13236334;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 2;02714Z95;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
112071;Mme;nom_040;Prenom_040;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 53 00 60 69;nom_040.Prenom_040@bnpparibas.com;4;13236318;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 1;02714T10;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 1;02714Z19;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
b43007;Mme;nom_041;Prenom_041;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 53 00 60 43;nom_041.Prenom_041@bnpparibas.com;5;13236334;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 2;02714Z95;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
a05719;Mme;nom_042;Prenom_042;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 55 35 93 69 ;nom_042.Prenom_042@bnpparibas.com;4;;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;;;;;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
210342;M.;nom_043;Prenom_043;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 53 00 60 60;nom_043.Prenom_043@bnpparibas.com;4;13236318;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 1;02714T10;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 1;02714Z19;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
b01003;M.;nom_044;Prenom_044;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 55 35 93 65;nom_044.Prenom_044@bnpparibas.com;4;13236334;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 2;02714Z95;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
998731;Mme;nom_045;Prenom_045;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 53 00 60 67;nom_045.Prenom_045@bnpparibas.com;5;13236334;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 2;02714Z95;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
990738;M.;nom_046;Prenom_046;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 53 00 60 26;nom_046.Prenom_046@bnpparibas.com;5;13236334;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 2;02714T20;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 2;02714Z95;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
134836;M.;nom_047;Prenom_047;RESPONSABLE CENTRE BANQUE PRIVEE;01 55 35 93 63;nom_047.Prenom_047@bnpparibas.com;5;13236315;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;PILOTAGE CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;02714Z96;PILOTAGE CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;02714Z96;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
338666;Mme;nom_048;Prenom_048;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;01 53 00 60 46;nom_048.Prenom_048@bnpparibas.com;4;13236318;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;CBP EQUIPE PARIS EXCLUSIVE 1;02714T10;ACTION COMMERCIALE CBP EQUIPE PARIS EXCLUSIVE 1;02714Z19;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
343685;Mme ;nom_049;Prenom_049;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;01 53 00 60 45;nom_049.Prenom_049@bnpparibas.com;5;;104328;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS EXCLUSIVE;2714000;;;;;40 RUE NOTRE DAME DES VICTOIRES 75002 PARIS 02;cs;OUI
466453;Mme;nom_050;Prenom_050;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 27;nom_050.Prenom_050@bnpparibas.com;3;13239793;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 3;08587T30;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 3;08587Z38;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
112262;Mme;nom_051;Prenom_051;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 57;nom_051.Prenom_051@bnpparibas.com;3;13239654;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 2;08587Z28;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
918003;Mme;nom_052;Prenom_052;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 53;nom_052.Prenom_052@bnpparibas.com;2;13239793;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 3;08587T30;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 3;08587Z38;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
298814;Mme;nom_053;Prenom_053;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 86;nom_053.Prenom_053@bnpparibas.com;1;13239634;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 1;08587T10;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 1;08587Z18;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
235385;Mme;nom_054;Prenom_054;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 54;nom_054.Prenom_054@bnpparibas.com;0;13239754;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 4;08587Z94;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
125127;Mme;nom_055;Prenom_055;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 56;nom_055.Prenom_055@bnpparibas.com;3;13239654;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 2;08587Z28;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
248280;Mme;nom_056;Prenom_056;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 26;nom_056.Prenom_056@bnpparibas.com;3;13239654;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 2;08587Z28;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
131266;Mme;nom_057;Prenom_057;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 58;nom_057.Prenom_057@bnpparibas.com;1;13239634;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 1;08587T10;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 1;08587Z18;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
181003;Mme;nom_058;Prenom_058;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 46;nom_058.Prenom_058@bnpparibas.com;2;13239754;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 4;08587Z94;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
264376;Mme;nom_059;Prenom_059;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 81;nom_059.Prenom_059@bnpparibas.com;1;13239793;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 3;08587T30;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 3;08587Z38;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
474528;Mme;nom_060;Prenom_060;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 45;nom_060.Prenom_060@bnpparibas.com;2;13239793;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 3;08587T30;APPUI COMMERCIAL CBP EQUIPE PARIS XVI EME 3;08587Z38;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
